"idEscola","nome_escola","tipo_rede","nota_ideb","media_ponderada_se"
"35446695","IRMA AGOSTINA ETEC","Estadual","6.90","5.98"
"35446695","IRMA AGOSTINA ETEC","Estadual","6.90","5.98"
"35021817","ARMANDO BAYEUX DA SILVA PROF ETEC","Estadual","6.90","5.93"
"35025641","JOAQUIM FERREIRA DO AMARAL ETEC","Estadual","6.90","5.86"
"23238933","EEEP PROFESSORA LYSIA PIMENTEL GOMES SAMPAIO SALES","Estadual","6.90","3.57"
"23246650","EEEP MARIA EUDES BEZERRA VERAS","Estadual","6.90","2.82"
"26132230","ESCOLA DE APLICACAO PROFESSORA IVONITA ALVES GUERRA","Estadual","6.90","4.97"
"23225190","LICEU DE ARARENDA JOSE WILSON VERAS MOURAO","Estadual","6.90","2.66"
"35006609","PRESIDENTE VARGAS ETEC","Estadual","6.90","6.29"
"31368288","COLEGIO TIRADENTES PMMG - UNIDADE CURVELO","Estadual","6.80","6.05"
"26132230","ESCOLA DE APLICACAO PROFESSORA IVONITA ALVES GUERRA","Estadual","6.80","4.97"
"35008285","JULIO DE MESQUITA ETEC","Estadual","6.80","6.12"
"26178230","ESCOLA TECNICA ESTADUAL CICERO DIAS","Estadual","6.80","5.03"
"23047860","EEEP JOSE VIDAL ALVES","Estadual","6.80","3.33"
"23041790","EEEP ADRIANO NOBRE","Estadual","6.80","3.49"
"35033583","ANTONIO DEVISATE ETEC","Estadual","6.80","5.91"
"35045986","VASCO ANTONIO VENCHIARUTTI ETEC","Estadual","6.80","6.40"
"41132556","POL MILITAR C CEL P M F S MIR EF M","Estadual","6.80","6.75"
"35405224","RUTH CARDOSO DOUTORA ETEC","Estadual","6.80","5.77"
"35438431","SANTA ISABEL ESCOLA TECNICA ESTADUAL DE","Estadual","6.80","5.79"
"35019689","ROSA PERRONE SCAVONE ETEC","Estadual","6.80","6.12"
"35020205","TRAJANO CAMARGO ETEC","Estadual","6.80","5.88"
"35290749","ETEC PROFESSORA MARIA CRISTINA MEDEIROS","Estadual","6.80","5.83"
"35022810","JULIO CARDOSO DR ETEC","Estadual","6.80","6.17"
"35046000","CARLOS AUGUSTO PATRICIO AMORIM PROF CTIG UNESP","Estadual","6.80","6.46"
"41160452","POL MILITAR C DA EF M","Estadual","6.70","6.52"
"35922936","COTEL - COLEGIO TECNICO DE LORENA - PROF NELSON PESCIOTTA","Estadual","6.70","6.19"
"35405224","RUTH CARDOSO DOUTORA ETEC","Estadual","6.70","5.77"
"35446993","EMBU ETEC DE","Estadual","6.70","5.37"
"35345623","ARACATUBA ETEC DE","Estadual","6.70","5.91"
"43362273","COLEGIO TIRADENTES SANTO ANGELO","Estadual","6.70","6.56"
"35438261","COTIA ESCOLA TECNICA ESTADUAL DE","Estadual","6.70","5.87"
"35444728","REGISTRO ETEC DE","Estadual","6.70","5.89"
"35267685","GERALDO JOSE RODRIGUES ALCKMIN DR ETEC","Estadual","6.70","5.67"
"35434619","MARINES TEODORO DE FREITAS ALMEIDA PROFA ETEC","Estadual","6.70","5.61"
"35406284","ETEC PROFESSORA ILZA NASCIMENTO PINTUS","Estadual","6.70","5.86"
"35562282","LUZIA MARIA MACHADO PROFA ETEC","Estadual","6.70","5.33"
"35033169","PEDRO DARCADIA NETO ETEC","Estadual","6.70","5.97"
"35345623","ARACATUBA ETEC DE","Estadual","6.70","5.91"
"35005365","ETEC DE TABOAO DA SERRA","Estadual","6.70","5.86"
"23238933","EEEP PROFESSORA LYSIA PIMENTEL GOMES SAMPAIO SALES","Estadual","6.70","3.57"
"23255528","EEEP PROFESSOR WALQUER CAVALCANTE MAIA","Estadual","6.70","3.68"
"26138875","ANEXO I DO COLEGIO DA POLICIA MILITAR PETROLINA","Estadual","6.70","5.58"
"31368148","COLEGIO TIRADENTES PMMG - UNIDADE SAO JOAO DEL REI","Estadual","6.70","6.24"
"23255528","EEEP PROFESSOR WALQUER CAVALCANTE MAIA","Estadual","6.70","3.68"
"14006871","COLEGIO MILITAR ESTADUAL DE ENSINO FUNDAMENTAL E MEDIO CEL PM DERLY LUIZ VIEIRA BORGES","Estadual","6.70","5.95"
"26090970","ESCOLA DE APLICACAO PROFESSOR CHAVES","Estadual","6.70","4.91"
"23041790","EEEP ADRIANO NOBRE","Estadual","6.70","3.49"
"35003608","BASILIDES DE GODOY PROF ETEC","Estadual","6.70","6.17"
"26178230","ESCOLA TECNICA ESTADUAL CICERO DIAS","Estadual","6.70","5.03"
"23563990","EEEP MARTA MARIA GIFFONI DE SOUSA","Estadual","6.60","3.80"
"23563990","EEEP MARTA MARIA GIFFONI DE SOUSA","Estadual","6.60","3.80"
"23563990","EEEP MARTA MARIA GIFFONI DE SOUSA","Estadual","6.60","3.80"
"35002185","MARTIN LUTHER KING ETEC","Estadual","6.60","6.05"
"27022838","ESCOLA ESTADUAL MONSENHOR LUIS CARLOS DE OLIVEIRA BARBOSA","Estadual","6.60","2.90"
"23047860","EEEP JOSE VIDAL ALVES","Estadual","6.60","3.33"
"23272317","EEEP JULIO FRANCA","Estadual","6.60","3.67"
"31362298","COLEGIO TIRADENTES PMMG","Estadual","6.60","6.45"
"35920538","JOAO RAYS COMENDADOR ETEC","Estadual","6.60","6.11"
"35018363","BENTO QUIRINO ETEC","Estadual","6.60","6.29"
"35290725","ETEC PROFESSOR ARMANDO JOSE FARINAZZO","Estadual","6.60","5.97"
"35038787","ARISTOTELES FERREIRA ETEC","Estadual","6.60","5.84"
"43296050","COLEGIO TIRADENTES PASSO FUNDO","Estadual","6.60","6.43"
"35021817","ARMANDO BAYEUX DA SILVA PROF ETEC","Estadual","6.60","5.93"
"35019847","BENEDITO STORANI ETEC","Estadual","6.60","6.06"
"35017589","JOAO BELARMINO ETEC","Estadual","6.60","5.94"
"35462412","ADOLPHO DE ARRUDA MELLO PROF ETEC","Estadual","6.60","5.64"
"35022810","JULIO CARDOSO DR ETEC","Estadual","6.60","6.17"
"35406296","SUZANO ETEC DE","Estadual","6.60","5.49"
"35440036","FRANCISCO MORATO ETEC DE","Estadual","6.60","5.33"
"35045986","VASCO ANTONIO VENCHIARUTTI ETEC","Estadual","6.60","6.40"
"35406296","SUZANO ETEC DE","Estadual","6.60","5.49"
"35020643","PEDRO FERREIRA ALVES ETEC","Estadual","6.60","5.94"
"35020205","TRAJANO CAMARGO ETEC","Estadual","6.50","5.88"
"35012658","ALFREDO DE BARROS SANTOS PROF ETEC","Estadual","6.50","6.08"
"35920538","JOAO RAYS COMENDADOR ETEC","Estadual","6.50","6.11"
"35345891","JUSCELINO KUBITSCHEK DE OLIVEIRA ETEC","Estadual","6.50","5.44"
"35021842","ANNA DE OLIVEIRA FERRAZ PROFA ETEC","Estadual","6.50","5.86"
"35033583","ANTONIO DEVISATE ETEC","Estadual","6.50","5.91"
"35290671","EMILIO HERNANDEZ AGUILAR DR ETEC","Estadual","6.50","5.56"
"35016724","SALLES GOMES ETEC","Estadual","6.50","5.84"
"35033583","ANTONIO DEVISATE ETEC","Estadual","6.50","5.91"
"35290658","ETEC PROFESSOR MASSUYUKI KAWANO","Estadual","6.50","5.83"
"35290671","EMILIO HERNANDEZ AGUILAR DR ETEC","Estadual","6.50","5.56"
"35299352","ITANHAEM ETEC DE","Estadual","6.50","5.76"
"35014308","MACHADO DE ASSIS ETEC","Estadual","6.50","5.73"
"35920538","JOAO RAYS COMENDADOR ETEC","Estadual","6.50","6.11"
"35433861","POA ETEC DE","Estadual","6.50","5.97"
"35434619","MARINES TEODORO DE FREITAS ALMEIDA PROFA ETEC","Estadual","6.50","5.61"
"35446836","ITAQUAQUECETUBA ETEC DE","Estadual","6.50","5.21"
"35406296","SUZANO ETEC DE","Estadual","6.50","5.49"
"35448060","MANDAQUI ETEC","Estadual","6.50","5.99"
"35013961","JOSE BENTO CONEGO ETEC","Estadual","6.50","5.74"
"35434607","CARAGUATATUBA ETEC DE","Estadual","6.50","5.94"
"35925950","JOSE DAGNONI DR PROF ETEC","Estadual","6.50","5.73"
"35294858","LINS ETEC DE","Estadual","6.50","5.64"
"35290634","CARMINE BIAGIO TUNDISI PROF ETEC","Estadual","6.50","5.85"
"35290749","ETEC PROFESSORA MARIA CRISTINA MEDEIROS","Estadual","6.50","5.83"
"35405224","RUTH CARDOSO DOUTORA ETEC","Estadual","6.50","5.77"
"35432726","CAMPO LIMPO PAULISTA ETEC DE","Estadual","6.50","6.18"
"35028824","PHILADELPHO GOUVEA NETTO ETEC","Estadual","6.50","5.97"
"35008285","JULIO DE MESQUITA ETEC","Estadual","6.50","6.12"
"22136002","CETI AUGUSTINHO BRANDAO","Estadual","6.50","3.27"
"35003608","BASILIDES DE GODOY PROF ETEC","Estadual","6.50","6.17"
"33172919","CE MATEMATICO JOAQUIM GOMES DE SOUSA INTERCULTURAL BRASILCHINA","Estadual","6.50","5.16"
"23215534","COLEGIO MILITAR DO CORPO DE BOMBEIROS ESCRITORA RACHEL DE QUEIROZ","Estadual","6.50","5.72"
"23013680","EEEP GOVERNADOR WALDEMAR ALCANTARA","Estadual","6.50","3.73"
"23264071","EEEP MARIA DOLORES ALCANTARA E SILVA","Estadual","6.50","3.93"
"27051528","COLEGIO DA POLICIA MILITAR TIRADENTES - UNIDADE AGRESTE","Estadual","6.50","5.00"
"31032409","COLEGIO TIRADENTES PMMG","Estadual","6.50","6.31"
"26090970","ESCOLA DE APLICACAO PROFESSOR CHAVES","Estadual","6.50","4.91"
"35003694","GUARACY SILVEIRA ETEC","Estadual","6.50","6.07"
"31369985","COLEGIO TIRADENTES DA PMMG - CTPM - UNIDADE CANDIDO MARTINS DE OLIVEIRA","Estadual","6.50","6.21"
"23238933","EEEP PROFESSORA LYSIA PIMENTEL GOMES SAMPAIO SALES","Estadual","6.50","3.57"
"23002590","EEEP MONSENHOR EXPEDITO DA SILVEIRA DE SOUSA","Estadual","6.50","3.35"
"14006871","COLEGIO MILITAR ESTADUAL DE ENSINO FUNDAMENTAL E MEDIO CEL PM DERLY LUIZ VIEIRA BORGES","Estadual","6.50","5.95"
"26018977","ESCOLA TOME FRANCISCO DA SILVA","Estadual","6.50","4.77"
"23235675","EEEP PROFESSOR ANTONIO VALMIR DA SILVA","Estadual","6.40","3.83"
"26132230","ESCOLA DE APLICACAO PROFESSORA IVONITA ALVES GUERRA","Estadual","6.40","4.97"
"35005847","ETEC DE GUARULHOS","Estadual","6.40","5.74"
"26035553","ESCOLA ESTADUAL DE APLICACAO PROFESSORA VANDE DE SOUZA FERREIRA","Estadual","6.40","4.84"
"23323418","EEEP PAULO PETROLA","Estadual","6.40","3.68"
"23040629","EEEP FLAVIO GOMES GRANJEIRO","Estadual","6.40","3.35"
"26090970","ESCOLA DE APLICACAO PROFESSOR CHAVES","Estadual","6.40","4.91"
"26035553","ESCOLA ESTADUAL DE APLICACAO PROFESSORA VANDE DE SOUZA FERREIRA","Estadual","6.40","4.84"
"26138875","ANEXO I DO COLEGIO DA POLICIA MILITAR PETROLINA","Estadual","6.40","5.58"
"23252456","EEEP RAIMUNDO CELIO RODRIGUES","Estadual","6.40","4.30"
"23030046","EEEP FRANCISCA CASTRO DE MESQUITA","Estadual","6.40","3.41"
"23255528","EEEP PROFESSOR WALQUER CAVALCANTE MAIA","Estadual","6.40","3.68"
"35003694","GUARACY SILVEIRA ETEC","Estadual","6.40","6.07"
"23165278","COLEGIO DA POLICIA MILITAR DO CEARA CORONEL HERVANO MACEDO JUNIOR","Estadual","6.40","4.98"
"23265027","EEEP MONSENHOR JOSE ALOYSIO PINTO","Estadual","6.40","3.45"
"31368237","COLEGIO TIRADENTES PMMG - UNIDADE SETE LAGOAS","Estadual","6.40","6.11"
"22256725","CETI JOAO HENRIQUE DE ALMEIDA SOUSA","Estadual","6.40","4.63"
"31191132","COLEGIO TIRADENTES PMMG","Estadual","6.40","6.22"
"23225190","LICEU DE ARARENDA JOSE WILSON VERAS MOURAO","Estadual","6.40","2.66"
"31032409","COLEGIO TIRADENTES PMMG","Estadual","6.40","6.31"
"14006871","COLEGIO MILITAR ESTADUAL DE ENSINO FUNDAMENTAL E MEDIO CEL PM DERLY LUIZ VIEIRA BORGES","Estadual","6.40","5.95"
"32032269","EEEFM PROF HERMANN BERGER","Estadual","6.40","5.34"
"23047860","EEEP JOSE VIDAL ALVES","Estadual","6.40","3.33"
"35001636","CAMARGO ARANHA PROF ETEC","Estadual","6.40","6.08"
"23047860","EEEP JOSE VIDAL ALVES","Estadual","6.40","3.33"
"35005365","ETEC DE TABOAO DA SERRA","Estadual","6.40","5.86"
"23142332","EEEP AMELIA FIGUEIREDO DE LAVOR","Estadual","6.40","3.14"
"23265027","EEEP MONSENHOR JOSE ALOYSIO PINTO","Estadual","6.40","3.45"
"26018977","ESCOLA TOME FRANCISCO DA SILVA","Estadual","6.40","4.77"
"23165278","COLEGIO DA POLICIA MILITAR DO CEARA CORONEL HERVANO MACEDO JUNIOR","Estadual","6.40","4.98"
"23165278","COLEGIO DA POLICIA MILITAR DO CEARA CORONEL HERVANO MACEDO JUNIOR","Estadual","6.40","4.98"
"35000486","ALBERT EINSTEIN ETEC","Estadual","6.40","5.86"
"23142332","EEEP AMELIA FIGUEIREDO DE LAVOR","Estadual","6.40","3.14"
"31115479","COLEGIO TIRADENTES PMMG","Estadual","6.40","6.32"
"23215534","COLEGIO MILITAR DO CORPO DE BOMBEIROS ESCRITORA RACHEL DE QUEIROZ","Estadual","6.40","5.72"
"23272317","EEEP JULIO FRANCA","Estadual","6.40","3.67"
"35433871","EURO ALBINO DE SOUZA ETEC","Estadual","6.40","5.68"
"35028824","PHILADELPHO GOUVEA NETTO ETEC","Estadual","6.40","5.97"
"43362273","COLEGIO TIRADENTES SANTO ANGELO","Estadual","6.40","6.56"
"35438431","SANTA ISABEL ESCOLA TECNICA ESTADUAL DE","Estadual","6.40","5.79"
"35015659","MARTINHO DI CIERO ETEC","Estadual","6.40","6.34"
"35015659","MARTINHO DI CIERO ETEC","Estadual","6.40","6.34"
"35579798","ETEC ITAQUERA II","Estadual","6.40","5.73"
"35016238","FERNANDO PRESTES ETEC","Estadual","6.40","6.10"
"35015416","DEMETRIO AZEVEDO JUNIOR DR ETEC","Estadual","6.40","5.72"
"35290661","TEREZINHA MONTEIRO DOS SANTOS PROFA ETEC","Estadual","6.40","5.51"
"35267211","CELSO CHARURI DR ETEC","Estadual","6.40","5.41"
"43296050","COLEGIO TIRADENTES PASSO FUNDO","Estadual","6.40","6.43"
"35017589","JOAO BELARMINO ETEC","Estadual","6.40","5.94"
"35045986","VASCO ANTONIO VENCHIARUTTI ETEC","Estadual","6.40","6.40"
"35019926","ALBERTO FERES PREFEITO ETEC","Estadual","6.40","6.00"
"35045962","POLIVALENTE DE AMERICANA ETEC","Estadual","6.40","6.16"
"35267685","GERALDO JOSE RODRIGUES ALCKMIN DR ETEC","Estadual","6.40","5.67"
"43296050","COLEGIO TIRADENTES PASSO FUNDO","Estadual","6.40","6.43"
"35925974","SAO ROQUE ETEC DE","Estadual","6.40","5.42"
"41163176","POL MILITAR DE UNIAO D VITORIA C DA EF M","Estadual","6.40","6.19"
"35290725","ETEC PROFESSOR ARMANDO JOSE FARINAZZO","Estadual","6.40","5.97"
"35019689","ROSA PERRONE SCAVONE ETEC","Estadual","6.40","6.12"
"35019689","ROSA PERRONE SCAVONE ETEC","Estadual","6.40","6.12"
"35013419","JOAO GOMES DE ARAUJO ETEC","Estadual","6.40","5.75"
"35479639","PERUIBE ETEC DE","Estadual","6.40","5.68"
"35013961","JOSE BENTO CONEGO ETEC","Estadual","6.40","5.74"
"35428905","CIDADE TIRADENTES ETEC DE","Estadual","6.40","4.74"
"35445927","ITARARE ETEC DE","Estadual","6.40","5.73"
"35433871","EURO ALBINO DE SOUZA ETEC","Estadual","6.40","5.68"
"35496376","ANA FRANCO DA ROCHA BRANDO PROFA","Estadual","6.40","5.96"
"35445927","ITARARE ETEC DE","Estadual","6.40","5.73"
"41012585","POLIVALENTE DE GOIOERE C E EF M PROF","Estadual","6.40","5.12"
"35290725","ETEC PROFESSOR ARMANDO JOSE FARINAZZO","Estadual","6.40","5.97"
"35438424","JARDIM ANGELA ESCOLA TECNICA ESTADUAL","Estadual","6.40","5.30"
"35034356","NHONHO BRAGA CORONEL","Estadual","6.40","5.66"
"35290671","EMILIO HERNANDEZ AGUILAR DR ETEC","Estadual","6.40","5.56"
"53013352","COL MILITAR DOM PEDRO II","Estadual","6.40","7.00"
"35501505","MAIRIPORA ETEC DE","Estadual","6.30","5.28"
"35290634","CARMINE BIAGIO TUNDISI PROF ETEC","Estadual","6.30","5.85"
"50015257","EE DOM AQUINO CORREA","Estadual","6.30","6.27"
"52020576","COLEGIO ESTADUAL DA POLICIA MILITAR DE GOIAS DR CESAR TOLEDO","Estadual","6.30","6.23"
"35042894","CONDE DO PINHAL","Estadual","6.30","6.12"
"35434589","JOAO MARIA STEVANATTO ETEC","Estadual","6.30","5.81"
"35925962","ETEC DE HORTOLANDIA","Estadual","6.30","5.69"
"41159594","POL MILITAR DO PARANA 2 C EF M","Estadual","6.30","6.29"
"35462412","ADOLPHO DE ARRUDA MELLO PROF ETEC","Estadual","6.30","5.64"
"35072552","GUAIANAZES ETEC","Estadual","6.30","5.58"
"35432726","CAMPO LIMPO PAULISTA ETEC DE","Estadual","6.30","6.18"
"35428899","MONTE MOR ETEC DE","Estadual","6.30","5.60"
"35035361","MARIA DOLORES VERISSIMO MADUREIRA PROFESSORA","Estadual","6.30","6.00"
"35033169","PEDRO DARCADIA NETO ETEC","Estadual","6.30","5.97"
"35446816","CIDADE DO LIVRO ETEC","Estadual","6.30","6.14"
"35290661","TEREZINHA MONTEIRO DOS SANTOS PROFA ETEC","Estadual","6.30","5.51"
"43092900","FUNDACAO ESCOLA TECNICA LIBERATO SALZANO VIEIRA DA CUNHA","Estadual","6.30","6.38"
"35432726","CAMPO LIMPO PAULISTA ETEC DE","Estadual","6.30","6.18"
"41160452","POL MILITAR C DA EF M","Estadual","6.30","6.52"
"35406284","ETEC PROFESSORA ILZA NASCIMENTO PINTUS","Estadual","6.30","5.86"
"35440747","ETEC FERRUCIO HUMBERTO GAZZETTA","Estadual","6.30","6.16"
"35920551","ADOLPHO BEREZIN ETEC","Estadual","6.30","5.58"
"35024797","PEDRO BADRAN ETEC","Estadual","6.30","5.60"
"35294883","ETEC PROFESSOR RODOLPHO JOSE DEL GUERRA","Estadual","6.30","5.64"
"35440115","ETEC PROFESSOR JOSE CARLOS SENO JUNIOR","Estadual","6.30","5.66"
"35428930","JADYR SALLES PROFESSOR ETEC","Estadual","6.30","6.27"
"35440036","FRANCISCO MORATO ETEC DE","Estadual","6.30","5.33"
"35438261","COTIA ESCOLA TECNICA ESTADUAL DE","Estadual","6.30","5.87"
"35915865","AMIM JUNDI ETEC","Estadual","6.30","5.91"
"35018351","OROSIMBO MAIA","Estadual","6.30","5.31"
"35406284","ETEC PROFESSORA ILZA NASCIMENTO PINTUS","Estadual","6.30","5.86"
"35016238","FERNANDO PRESTES ETEC","Estadual","6.30","6.10"
"35028290","DOMINGOS DONATO RIVELLI","Estadual","6.30","5.64"
"35290661","TEREZINHA MONTEIRO DOS SANTOS PROFA ETEC","Estadual","6.30","5.51"
"35345891","JUSCELINO KUBITSCHEK DE OLIVEIRA ETEC","Estadual","6.30","5.44"
"35433858","TIQUATIRA ETEC","Estadual","6.30","6.00"
"26018977","ESCOLA TOME FRANCISCO DA SILVA","Estadual","6.30","4.77"
"31362298","COLEGIO TIRADENTES PMMG","Estadual","6.30","6.45"
"22256725","CETI JOAO HENRIQUE DE ALMEIDA SOUSA","Estadual","6.30","4.63"
"31023841","COLEGIO TIRADENTES PMMG","Estadual","6.30","6.26"
"35008285","JULIO DE MESQUITA ETEC","Estadual","6.30","6.12"
"23320214","EEEP RITA AGUIAR BARBOSA","Estadual","6.30","3.43"
"23252456","EEEP RAIMUNDO CELIO RODRIGUES","Estadual","6.30","4.30"
"23142332","EEEP AMELIA FIGUEIREDO DE LAVOR","Estadual","6.30","3.14"
"35006609","PRESIDENTE VARGAS ETEC","Estadual","6.30","6.29"
"23272317","EEEP JULIO FRANCA","Estadual","6.30","3.67"
"35003608","BASILIDES DE GODOY PROF ETEC","Estadual","6.30","6.17"
"32029306","EEEFM PONTO DO ALTO","Estadual","6.30","4.10"
"23236442","EEEP DOM WALFRIDO TEIXEIRA VIEIRA","Estadual","6.30","3.52"
"31075230","COLEGIO TIRADENTES PMMG","Estadual","6.30","6.06"
"23111291","EEEP ALFREDO NUNES DE MELO","Estadual","6.30","3.88"
"23041030","EEEP WALTER RAMOS DE ARAUJO","Estadual","6.30","3.85"
"23081996","EEEP SALABERGA TORQUATO GOMES DE MATOS","Estadual","6.30","3.71"
"21021953","COLEGIO MILITAR TIRADENTES I - SAO LUIS","Estadual","6.30","4.97"
"23040629","EEEP FLAVIO GOMES GRANJEIRO","Estadual","6.30","3.35"
"23564318","EEEP DEPUTADO JOSE MARIA MELO","Estadual","6.30","3.58"
"23034190","EEEP LUIZ GONZAGA FONSECA MOTA","Estadual","6.30","3.24"
"26024551","ESCOLA DE REFERENCIA EM ENSINO MEDIO CONEGO OLIMPIO TORRES","Estadual","6.30","3.84"
"31369985","COLEGIO TIRADENTES DA PMMG - CTPM - UNIDADE CANDIDO MARTINS DE OLIVEIRA","Estadual","6.30","6.21"
"31368288","COLEGIO TIRADENTES PMMG - UNIDADE CURVELO","Estadual","6.30","6.05"
"23002590","EEEP MONSENHOR EXPEDITO DA SILVEIRA DE SOUSA","Estadual","6.30","3.35"
"31364592","COLEGIO TIRADENTES PMMG - UNIDADE DIVINOPOLIS","Estadual","6.30","6.61"
"23237775","EEM ANTONIO PEREIRA DE FARIAS","Estadual","6.20","2.90"
"23081996","EEEP SALABERGA TORQUATO GOMES DE MATOS","Estadual","6.20","3.71"
"23085592","EEEP MANOEL MANO","Estadual","6.20","3.60"
"26178230","ESCOLA TECNICA ESTADUAL CICERO DIAS","Estadual","6.20","5.03"
"23215534","COLEGIO MILITAR DO CORPO DE BOMBEIROS ESCRITORA RACHEL DE QUEIROZ","Estadual","6.20","5.72"
"23013680","EEEP GOVERNADOR WALDEMAR ALCANTARA","Estadual","6.20","3.73"
"26026902","ESCOLA APOLONIO ALVES DA SILVA","Estadual","6.20","3.02"
"23564024","EEEP PROFESSOR SEBASTIAO VASCONCELOS SOBRINHO","Estadual","6.20","3.50"
"35000486","ALBERT EINSTEIN ETEC","Estadual","6.20","5.86"
"21092346","COLEGIO MILITAR TIRADENTES II - IMPERATRIZ","Estadual","6.20","5.07"
"23246650","EEEP MARIA EUDES BEZERRA VERAS","Estadual","6.20","2.82"
"31118770","COLEGIO TIRADENTES PMMG","Estadual","6.20","6.45"
"23246731","EEEP PROFESSORA MARIA DE JESUS RODRIGUES ALVES","Estadual","6.20","3.12"
"23163402","EEEP GOVERNADOR VIRGILIO TAVORA","Estadual","6.20","3.34"
"31203122","COLEGIO TIRADENTES PMMG","Estadual","6.20","6.44"
"23236442","EEEP DOM WALFRIDO TEIXEIRA VIEIRA","Estadual","6.20","3.52"
"23236442","EEEP DOM WALFRIDO TEIXEIRA VIEIRA","Estadual","6.20","3.52"
"27022838","ESCOLA ESTADUAL MONSENHOR LUIS CARLOS DE OLIVEIRA BARBOSA","Estadual","6.20","2.90"
"23002590","EEEP MONSENHOR EXPEDITO DA SILVEIRA DE SOUSA","Estadual","6.20","3.35"
"23323434","EEEP MARIO ALENCAR","Estadual","6.20","3.86"
"23252456","EEEP RAIMUNDO CELIO RODRIGUES","Estadual","6.20","4.30"
"26176238","ESCOLA TECNICA ESTADUAL PROFESSOR LUCILO AVILA PESSOA","Estadual","6.20","4.26"
"31191132","COLEGIO TIRADENTES PMMG","Estadual","6.20","6.22"
"21100560","COLEGIO MILITAR TIRADENTES III - BACABAL","Estadual","6.20","4.78"
"35003694","GUARACY SILVEIRA ETEC","Estadual","6.20","6.07"
"23198710","COLEGIO DA POLICIA MILITAR DO CEARA GENERAL EDGARD FACO","Estadual","6.20","5.45"
"31015245","COLEGIO TIRADENTES PMMG - BARBACENA","Estadual","6.20","6.28"
"23198710","COLEGIO DA POLICIA MILITAR DO CEARA GENERAL EDGARD FACO","Estadual","6.20","5.45"
"23198710","COLEGIO DA POLICIA MILITAR DO CEARA GENERAL EDGARD FACO","Estadual","6.20","5.45"
"21092346","COLEGIO MILITAR TIRADENTES II - IMPERATRIZ","Estadual","6.20","5.07"
"35405231","GINO REZAGHI ETEC","Estadual","6.20","5.49"
"52020576","COLEGIO ESTADUAL DA POLICIA MILITAR DE GOIAS DR CESAR TOLEDO","Estadual","6.20","6.23"
"41102622","LARANJEIRAS DO SUL C E DE EF M","Estadual","6.20","5.99"
"35045937","ANTONIO PRADO CONSELHEIRO ETEC","Estadual","6.20","6.46"
"35290749","ETEC PROFESSORA MARIA CRISTINA MEDEIROS","Estadual","6.20","5.83"
"35363315","ITAQUERA ETEC DE","Estadual","6.20","5.33"
"35405346","ERMELINDA GIANNINI TEIXEIRA PROFA ETEC","Estadual","6.20","5.78"
"35428930","JADYR SALLES PROFESSOR ETEC","Estadual","6.20","6.27"
"35446816","CIDADE DO LIVRO ETEC","Estadual","6.20","6.14"
